player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?
Antwann Jones,UNC Greensboro,SC,6,5.6,75,19.1,37.5,38.35,7.7,17.9,6.3,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2,12.5,Sr,6-Jun,0,-0.627717,73.6284,4.1,2026,65925,"Orlando, FL",79,0.50005835,2,5,1,5,0.4,0.2,0,0,,,116.129,115.637,0.627445,10.873,-9.11025,-7.03586,-2.07438,-8.86807,11.4857,-5.67353,-3.19454,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.90253
Elijah Elliott,New Mexico St.,CUSA,22,50.7,107.6,26.5,45.8,51.7,1.7,9.4,25.8,15.5,52,63,0.825,32,84,0.381,33,94,0.351,0.8,2.4,35.4,Sr,1-Jun,11,1.66402,116.038,3.1,2026,67572,"Houston, TX",,1.65720352,14,25,18,59,0.56,0.3051,0,0,,,110.412,111.121,1.63985,71.7003,0.351558,2.05555,-1.70399,1.56108,19.7917,2.18129,-0.620207,0.2917,1.625,1.9167,2.4167,0.875,0.125,9.2917,Scoring PG,12.5045
Doctor Bradley,Bethune Cookman,SWAC,8,16.7,103,30.1,55.2,54.04,8.5,29.4,28.7,17,21,44,0.477,34,60,0.567,2,7,0.286,5.2,3.2,65.7,Sr,8-Jun,13,1.21823,108.588,3.9,2026,70326,"Los Angeles, CA",,1.375,32,51,2,9,0.6275,0.2222,5,7,0.7143,,97.8692,106.465,2.10395,46.3201,5.86583,0.746016,5.11981,5.72565,22.0375,1.63209,4.09356,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23636
Rahmir Moore,Delaware St.,MEAC,16,34.2,87.1,17.4,34.8,43.46,3.9,13.1,10.9,16.6,25,33,0.758,14,40,0.35,6,26,0.231,0,1.7,50,Sr,2-Jun,0,-0.695679,81.3202,2.4,2026,70501,"Philadelphia, PA",,1.39999994,8,19,6,21,0.4211,0.2857,0,0,,,111.004,117.849,1.03895,41.9934,-7.206,-5.14501,-2.06099,-7.13078,18.375,-4.82385,-2.30693,0.85,1.6,2.45,1.05,0.45,0,5,Wing G,5.36917
Alex Hemenway,Evansville,MVC,25,64.7,93.6,14.6,43,46.91,1.1,6.8,7.1,11.2,27,33,0.818,9,31,0.29,39,126,0.31,0.5,1,21,Sr,4-Jun,12,-0.317389,88.8724,2.6,2026,70621,"Newburgh, IN",24,1.38878052,7,18,2,13,0.3889,0.1538,0,0,,,118.638,117.797,1.4911,84.87,-4.51248,-1.85841,-2.65408,-4.91034,25.3815,-2.99381,-1.91652,0.2963,1.4074,1.7037,0.9259,0.4074,0.1111,6.7778,Combo G,11.4387
Addison Patterson,Eastern Michigan,MAC,26,74.6,113.1,23.3,60.3,61.85,5.5,14.3,18.8,18.8,42,57,0.737,133,206,0.646,19,62,0.306,1,2.4,21.3,Sr,7-Jun,9,2.50968,116.636,3.5,2026,70754,"Mississauga, Canada",,1.20692716,106,147,27,59,0.7211,0.4576,24,26,0.9231,,106.202,106.277,2.91389,142.527,3.20052,1.88283,1.31769,3.34041,29.637,2.05459,1.28582,1.4815,3.8148,5.2963,2.5926,1.1852,0.2593,14,Wing G,4.67733
Rienk Mast,Nebraska,B10,25,68.6,113,26.9,52.6,55.8,9.3,15.2,21.3,14.2,52,64,0.813,90,163,0.552,40,122,0.328,1.5,1,22.5,Sr,10-Jun,51,3.37382,126.483,2.5,2026,70772,"Groningen, Netherlands",,1.69565208,53,74,37,89,0.7162,0.4157,0,0,,,98.9753,93.46,4.0543,126.565,6.55821,3.63037,2.92784,5.99316,28.676,3.87987,2.11329,2.2,4,6.2,3.12,0.48,0.32,14.08,Stretch 4,10.1021
Rick Issanza,Loyola Marymount,WCC,25,35.1,107.8,10.3,63.6,57.76,9.5,13.3,3.7,20.4,8,24,0.333,28,43,0.651,0,1,0,10.3,1.2,54.5,Sr,1-Jul,22,0.139391,95.0605,5.5,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.57140205,24,34,4,9,0.7059,0.4444,18,21,0.8571,,103.173,101.054,1.75283,76.138,3.66162,-2.60971,6.27134,0.74081,15.2192,-3.33213,4.07294,1.2308,1.8077,3.0385,0.3077,0.3462,1.4615,2.6154,C,0.150814
Steele Venters,Gonzaga,WCC,26,35,113.7,15,54.5,56.13,1.5,7.6,9.5,16.1,10,12,0.833,8,16,0.5,35,95,0.368,0.6,2.4,10.8,Sr,7-Jun,2,0.818548,108.077,3.5,2026,70941,"Ellensburg, WA",,1.58840614,6,8,2,8,0.75,0.25,2,2,1,,96.9045,93.6076,2.13139,70.1798,3.9161,1.92205,1.99405,3.2444,15.1269,0.459652,2.78474,0.1923,1.0769,1.2692,1.0385,0.6538,0.0769,5.0385,Wing G,13.4365
Micah Thomas,Northwestern St.,Slnd,25,75.6,105,30.4,49.5,56.5,1.5,6,22.9,17.2,109,119,0.916,99,212,0.467,41,112,0.366,0.6,1.7,36.7,Sr,Jun-00,5,2.69108,118.046,2.4,2026,70961,"Oklahoma City, OK",,1.12121581,31,65,68,147,0.4769,0.4626,0,0,,,117.83,119.442,1.57087,97.2162,-3.34566,0.654762,-4.00042,-0.329557,29.837,2.31986,-2.64942,0.3704,1.4815,1.8519,2.7407,1,0.1481,17.2963,Scoring PG,8.89841
